0,0,cbf29ce484222325
0,1,cbf29ce484222325
0,7,cbf29ce484222325
0,512,cbf29ce484222325
0,2048,cbf29ce484222325
0,4095,cbf29ce484222325
0,4096,cbf29ce484222325
1,0,082d96152eebb2c2
1,1,21b6f0153d424a20
1,7,21b6f0153d424a20
1,512,b690ea4fb709f2b0
1,2048,565800ba2f5661e6
1,4095,cfc7c0c88e23b1e0
1,4096,9effc09ed5a698c2
3,0,6ef43efb33960840
3,1,79e5f7e989951b50
3,7,79e5f7e989951b50
3,512,eef5bcc3fc8a1705
3,2048,b3227beba145078f
3,4095,b51002b5d544a765
3,4096,0ab62dc702985611
4,0,de818d4f833c960f
4,1,3149de2964d37c63
4,7,3149de2964d37c63
4,512,419906afc13dad49
4,2048,6c2b7b925b3a4a31
4,4095,85106fd210d25c17
4,4096,2da4ed4fb46c67e5
5,0,b04c4a6608760617
5,1,6e4dcea2216b3cbb
5,7,6e4dcea2216b3cbb
5,512,97f756177c9e7553
5,2048,4acef33c47350a5a
5,4095,94d1252b18476531
5,4096,a3ad44f834c69497
16,0,c3bed920f088daef
16,1,be5cf62359fac505
16,7,be5cf62359fac505
16,512,4d90a5c36f1de85e
16,2048,1d7c26e4fd7f60b1
16,4095,2cba8e341c3add7e
16,4096,6ad847c5b465dd64
257,0,800bec1882afbea5
257,1,01663a74201503be
257,7,01663a74201503be
257,512,965639ee903432f2
257,2048,9eb557435b9dab22
257,4095,bd188b8115043f8f
257,4096,4790c37b4499258f
1000,0,9b7a6f85c7e689fd
1000,1,cfaa26ace8aa19e0
1000,7,cfaa26ace8aa19e0
1000,512,1b6c7d3288099530
1000,2048,ce2ebf474606126e
1000,4095,830a5aa83441c018
1000,4096,98c02d5dc0a22f2e
4097,0,01ddb0f483cd7257
4097,1,46e4092a09f920ee
4097,7,46e4092a09f920ee
4097,512,8ebdb26cb8228be1
4097,2048,226aedeb31c8536c
4097,4095,a1a489a28510d7b2
4097,4096,c44a2746c6ab6b7d
